Product_Name,Price,Old_Price,Discount
Toast to Happiness Gift BoxToast to Happiness Gift Box,1299.0,1449,10% OFF
Tulip Crystal Vine Bracelet - PinkTulip Crystal Vine Bracelet - Pink,519.0,1039,50% OFF
Best Birthday Surprise! Trendy Jewelry Gift Box for HerBest Birthday Surprise! Trendy Jewelry Gift Box for Her,1099.0,1499,27% OFF
Linked by Love Knot Bracelet - SilverLinked by Love Knot Bracelet - Silver,299.0,899,67% OFF
Make it a Gift!Make it a Gift!,99.0,199,50% OFF
Celestial Sparkle Crystal RingCelestial Sparkle Crystal Ring,349.0,999,65% OFF
Shagun Pearl Cluster Rakhi for BhaiyaShagun Pearl Cluster Rakhi for Bhaiya,249.0,499,50% OFF
Shagun Pearl Cluster Lumba Rakhi for BhabhiShagun Pearl Cluster Lumba Rakhi for Bhabhi,249.0,499,50% OFF
Shubh Bandhan Red & White Rakhi for Bhaiya and BhabhiShubh Bandhan Red & White Rakhi for Bhaiya and Bhabhi,399.0,799,50% OFF
Suvarna Bandhan Golden Beads & Red Thread Rakhi for Bhaiya and BhabhiSuvarna Bandhan Golden Beads & Red Thread Rakhi for Bhaiya and Bhabhi,299.0,599,50% OFF
Hades Classic Black Thick BraceletHades Classic Black Thick Bracelet,799.0,980,18% OFF
Linked by Love Couple BraceletsLinked by Love Couple Bracelets,799.0,1299,38% OFF
Tulip Crystal Vine Bracelet - Multi ColorTulip Crystal Vine Bracelet - Multi Color,519.0,1039,50% OFF
The Lilac Square Dial Sleek Quartz WatchThe Lilac Square Dial Sleek Quartz Watch,1149.0,2298,50% OFF
Luxury Jewellery Set Gift Hamper for Her with Personalised CardLuxury Jewellery Set Gift Hamper for Her with Personalised Card,799.0,1099,27% OFF
Green Forest Dial Sleek Vintage WatchGreen Forest Dial Sleek Vintage Watch,1149.0,2298,50% OFF
Lavish Lavender Jewellery Gift Box for HerLavish Lavender Jewellery Gift Box for Her,1799.0,2499,28% OFF
Red HeartBeat Gift BoxRed HeartBeat Gift Box,1499.0,2999,50% OFF
Unwrap the Magic – Daydream bow boxUnwrap the Magic – Daydream bow box,999.0,1999,50% OFF
Kabir Singh Inspired Gold & Black Sunglasses - Free GiftKabir Singh Inspired Gold & Black Sunglasses - Free Gift,949.0,1424,33% OFF
