Product_Name,Price,Old_Price,Discount
Toast to Happiness Gift BoxToast to Happiness Gift Box,"Rs.1,299","Rs.1,449",10% OFF
Tulip Crystal Vine Bracelet - PinkTulip Crystal Vine Bracelet - Pink,Rs.519,"Rs.1,039",50% OFF
Best Birthday Surprise! Trendy Jewelry Gift Box for HerBest Birthday Surprise! Trendy Jewelry Gift Box for Her,"Rs.1,099","Rs.1,499",27% OFF
Linked by Love Knot Bracelet - SilverLinked by Love Knot Bracelet - Silver,Rs.299,Rs.899,67% OFF
Make it a Gift!Make it a Gift!,Rs.99,Rs.199,50% OFF
Celestial Sparkle Crystal RingCelestial Sparkle Crystal Ring,Rs.349,Rs.999,65% OFF
Shagun Pearl Cluster Rakhi for BhaiyaShagun Pearl Cluster Rakhi for Bhaiya,Rs.249,Rs.499,50% OFF
Shagun Pearl Cluster Lumba Rakhi for BhabhiShagun Pearl Cluster Lumba Rakhi for Bhabhi,Rs.249,Rs.499,50% OFF
Shubh Bandhan Red & White Rakhi for Bhaiya and BhabhiShubh Bandhan Red & White Rakhi for Bhaiya and Bhabhi,Rs.399,Rs.799,50% OFF
Suvarna Bandhan Golden Beads & Red Thread Rakhi for Bhaiya and BhabhiSuvarna Bandhan Golden Beads & Red Thread Rakhi for Bhaiya and Bhabhi,Rs.299,Rs.599,50% OFF
Hades Classic Black Thick BraceletHades Classic Black Thick Bracelet,Rs.799,Rs.980,18% OFF
Linked by Love Couple BraceletsLinked by Love Couple Bracelets,Rs.799,"Rs.1,299",38% OFF
Tulip Crystal Vine Bracelet - Multi ColorTulip Crystal Vine Bracelet - Multi Color,Rs.519,"Rs.1,039",50% OFF
The Lilac Square Dial Sleek Quartz WatchThe Lilac Square Dial Sleek Quartz Watch,"Rs.1,149","Rs.2,298",50% OFF
Luxury Jewellery Set Gift Hamper for Her with Personalised CardLuxury Jewellery Set Gift Hamper for Her with Personalised Card,Rs.799,"Rs.1,099",27% OFF
Green Forest Dial Sleek Vintage WatchGreen Forest Dial Sleek Vintage Watch,"Rs.1,149","Rs.2,298",50% OFF
Lavish Lavender Jewellery Gift Box for HerLavish Lavender Jewellery Gift Box for Her,"Rs.1,799","Rs.2,499",28% OFF
Red HeartBeat Gift BoxRed HeartBeat Gift Box,"Rs.1,499","Rs.2,999",50% OFF
Unwrap the Magic – Daydream bow boxUnwrap the Magic – Daydream bow box,Rs.999,"Rs.1,999",50% OFF
Kabir Singh Inspired Gold & Black Sunglasses - Free GiftKabir Singh Inspired Gold & Black Sunglasses - Free Gift,Rs.949,"Rs.1,424",33% OFF
